country,gdp_per_capita,life_expectancy
Singapore,80884.8565369236,83.0926829268293
Solomon Islands,2043.44413170658,68.89
Sierra Leone,885.396401613729,60.26
El Salvador,4642.60743101342,69.941
San Marino,54168.9744311193,83.539
"Somalia, Fed. Rep.",549.056994756254,55.703
Serbia,9680.52798074468,72.780487804878
Sao Tome and Principe,2362.58827248102,68.026
Suriname,5029.84838543953,68.943
Slovak Republic,22123.3342114545,74.6146341463415
Slovenia,29192.8401933019,80.6756097560976
Sweden,60647.5416365347,83.0560975609756
Eswatini,3984.00229174306,58.228
Sint Maarten (Dutch part),32548.4366854902,74.505
Seychelles,14982.9111487767,73.3975609756097
Syrian Arab Republic,688.566109726934,72.418
Turks and Caicos Islands,27329.2885087196,77.234
Chad,946.358500208374,53.136
Togo,1076.29520076949,61.337
Thailand,7055.18760721422,77.606
Tajikistan,896.748053372182,69.594
Turkmenistan,3713.20113171765,69.353
Timor-Leste,2684.92673717299,66.199
Tonga,4922.8015864044,72.13
Trinidad and Tobago,17712.5674104655,71.111
Tunisia,3906.93926319391,72.893
Turkiye,9981.76398411336,75.722
Tuvalu,6042.51983141155,65.824
Tanzania,1159.85656738281,66.131
Uganda,882.791717542504,66.45
Ukraine,4775.94580078125,71.631
Uruguay,17881.8119616753,75.434
United States,71441.2319805947,76.3292682926829
Uzbekistan,2370.36480555669,71.681
St. Vincent and the Grenadines,8641.27904024443,69.132
"Venezuela, RB",2004.93572921136,71.536
Virgin Islands (U.S.),42571.0777368471,80.0682926829268
Viet Nam,3704.1935590038,74.145
Vanuatu,3576.13770954363,69.952
Samoa,4021.55934894283,71.096
Kosovo,5269.69946181439,74.981
South Africa,6828.75624590017,62.01
Zambia,1127.16077872857,62.363
Zimbabwe,2613.6167414057,60.135
